id,name,popularity,followers,genres,user
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,94,107981653,pop,M
66npZ0iLHcWmV2DAC8oYRF,GRAZER,35,9660,"dream pop, lo-fi indie, shoegaze",C
67ea9eGLXYMsO2eYQRui3w,The Who,67,5854998,"classic rock, rock",C
67lytN32YpUxiSeWlKfHJ3,Yung Lean,68,1169708,"cloud rap, rap",I
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,87,15207323,rage rap,M
69HouC7BpXVxTAFwpckJHs,La Capone,40,183595,"chicago drill, drill",M
6AUl0ykLLpvTktob97x9hO,Tee Grizzley,69,4060913,"detroit hip hop, rap, trap",M
6AgTAQt8XS6jRWi4sX7w49,Polo G,78,13163309,"chicago drill, melodic rap",M
6B5c4sch27tWHAGdarpPaW,Seether,71,3860963,"alternative metal, post-grunge, rock",C
6DGLXvs8Y2RO8VfdOpFLml,David Peacock,44,6037,indie,I
6DgP9otnZw5z6daOntINxp,Joel Corry,68,474083,dance pop,M
6GEykX11lQqp92UVOQQCC7,DJ Premier,67,327583,east coast hip hop,C
6Ghvu1VvMGScGpOUJBAHNH,Deftones,83,7869837,"alternative metal, edm, nu metal, rap metal, rock, shoegaze","I, C"
6Ip8FS7vWT1uKkJSweANQK,Dave,81,6704120,"drill, grime, uk drill, uk grime",M
6JvU33PZ8MtZyeFTESr09O,Kap G,44,503169,"southern hip hop, trap",M
6LEeAFiJF8OuPx747e1wxR,Blood Orange,72,1366600,art pop,C
6LQYtKNp3ZsJ9xOzVVUj5j,ギヴン,53,584627,"anime, j-pop",I
6NyJIFHAePjHR1pFxwisqz,Kurupt,61,778650,"g-funk, gangster rap, old school hip hop, west coast hip hop",M
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,66,3367059,classic rock,C
6QtgPSJPSzcnn7dPZ4VINp,King Von,77,8110732,"chicago drill, drill",M
6R3Zn2xPFisfiGQIrp4sKd,Phantom Youth,34,5972,"dream pop, shoegaze",C
6SUbi1ZVEswHqRUWsxmq2m,Kinrose,36,20263,"drill, uk drill",M
6T5tfhQCknKG4UnH90qGnz,DNCE,68,4597954,"dance pop, pop",M
6XZYAWJLL8UIbxAqjKj3cg,SOHN,46,284676,"alternative, indie",C
6c9mrV72IOeJ5imCUK281g,Franz Gordon,56,43070,indie,I
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,90,123345894,soft pop,M
6extd4B6hl8VTmnlhpl2bY,Huncho Jack,56,1200857,"rap, trap",M
6fFcUOFcbjeIuEomuUthkw,Oklou,63,230930,"art pop, hyperpop",I
6g0mn3tzAds6aVeUYRsryU,The War On Drugs,60,1010333,indie rock,C
